Date,Close,Balance,apl30,Month
1/25/2019,39.439999,9896,38.94,Jan-19
1/28/2019,39.075001,9896,38.83,Jan-19
1/29/2019,38.669998,9896,38.7,Jan-19
1/30/2019,41.3125,9896,38.7,Jan-19
1/31/2019,41.610001,9896,38.72,Jan-19
2/1/2019,41.630001,9896,38.72,Feb-19
2/4/2019,42.8125,9896,38.81,Feb-19
2/5/2019,43.544998,9896,38.95,Feb-19
2/6/2019,43.560001,9896,39.15,Feb-19
2/7/2019,42.735001,9896,39.35,Feb-19
2/8/2019,42.602501,9896,39.46,Feb-19
2/11/2019,42.357498,9896,39.57,Feb-19
2/12/2019,42.7225,9896,39.69,Feb-19
2/13/2019,42.544998,9896,39.8,Feb-19
2/14/2019,42.700001,9896,39.9,Feb-19
2/15/2019,42.605,9896,40.14,Feb-19
2/19/2019,42.732498,9896,40.33,Feb-19
2/20/2019,43.0075,9896,40.53,Feb-19
2/21/2019,42.764999,9896,40.7,Feb-19
2/22/2019,43.2425,9896,40.86,Feb-19
2/25/2019,43.557499,9896,41.03,Feb-19
2/26/2019,43.5825,9896,41.22,Feb-19
2/27/2019,43.717499,9896,41.42,Feb-19
2/28/2019,43.287498,9896,41.59,Feb-19
3/1/2019,43.7425,9896,41.76,Mar-19
3/4/2019,43.962502,9896,41.92,Mar-19
3/5/2019,43.8825,9896,42.08,Mar-19
3/6/2019,43.630001,9896,42.26,Mar-19
3/7/2019,43.125,9896,42.41,Mar-19
3/8/2019,43.227501,9896,42.58,Mar-19
3/11/2019,44.724998,9896,42.76,Mar-19
3/12/2019,45.227501,9896,42.96,Mar-19
3/13/2019,45.427502,9896,43.19,Mar-19
3/14/2019,45.932499,9896,43.34,Mar-19
3/15/2019,46.529999,9896,43.5,Mar-19
3/18/2019,47.005001,9896,43.68,Mar-19
3/19/2019,46.6325,9896,43.81,Mar-19
3/20/2019,47.040001,9896,43.93,Mar-19
3/21/2019,48.772499,9896,44.1,Mar-19
3/22/2019,47.762501,9896,44.27,Mar-19
3/25/2019,47.185001,9896,44.42,Mar-19
3/26/2019,46.697498,9896,44.57,Mar-19
3/27/2019,47.1175,9896,44.71,Mar-19
3/28/2019,47.18,9896,44.87,Mar-19
3/29/2019,47.487499,9896,45.03,Mar-19
4/1/2019,47.810001,9896,45.2,Apr-19
4/2/2019,48.505001,9896,45.39,Apr-19
4/3/2019,48.837502,9896,45.59,Apr-19
4/4/2019,48.922501,9896,45.79,Apr-19
4/5/2019,49.25,9896,45.99,Apr-19
4/8/2019,50.025002,9896,46.21,Apr-19
4/9/2019,49.875,9896,46.42,Apr-19
4/10/2019,50.154999,9896,46.63,Apr-19
4/11/2019,49.737499,9896,46.85,Apr-19
4/12/2019,49.717499,9896,47.05,Apr-19
4/15/2019,49.807499,9896,47.24,Apr-19
4/16/2019,49.8125,9896,47.44,Apr-19
4/17/2019,50.782501,9896,47.68,Apr-19
4/18/2019,50.965,9896,47.94,Apr-19
4/22/2019,51.1325,9896,48.2,Apr-19
4/23/2019,51.869999,9896,48.44,Apr-19
4/24/2019,51.790001,9896,48.66,Apr-19
4/25/2019,51.32,9896,48.86,Apr-19
4/26/2019,51.075001,9896,49.03,Apr-19
4/29/2019,51.1525,9896,49.18,Apr-19
4/30/2019,50.1675,9896,49.29,Apr-19
5/1/2019,52.630001,9896,49.49,May-19
5/2/2019,52.287498,9896,49.66,May-19
5/3/2019,52.9375,9896,49.8,May-19
5/6/2019,52.119999,9896,49.95,May-19
5/7/2019,50.715,9896,50.06,May-19
5/8/2019,50.724998,9896,50.2,May-19
5/9/2019,50.18,9896,50.3,May-19
5/10/2019,49.294998,9896,50.37,May-19
5/13/2019,46.43,9896,50.33,May-19
5/14/2019,47.165001,9896,50.31,May-19
5/15/2019,47.73,9896,50.29,May-19
5/16/2019,47.52,9896,50.24,May-19
5/17/2019,47.25,9896,50.19,May-19
5/20/2019,45.772499,9896,50.07,May-19
5/21/2019,46.650002,9896,49.96,May-19
5/22/2019,45.695,9896,49.82,May-19
5/23/2019,44.915001,9896,49.64,May-19
5/24/2019,44.7425,9896,49.48,May-19
5/28/2019,44.557499,9896,49.31,May-19
5/29/2019,44.345001,9896,49.12,May-19
5/30/2019,44.575001,9896,48.95,May-19
5/31/2019,43.767502,9896,48.72,May-19
6/3/2019,43.325001,9795,48.46,Jun-19
6/4/2019,44.91,10154,48.25,Jun-19
6/5/2019,45.634998,10154,48.05,Jun-19
6/6/2019,46.305,10154,47.86,Jun-19
6/7/2019,47.537498,10154,47.74,Jun-19
6/10/2019,48.145,10154,47.64,Jun-19
6/11/2019,48.702499,10154,47.56,Jun-19
6/12/2019,48.547501,10154,47.5,Jun-19
6/13/2019,48.537498,10154,47.37,Jun-19
6/14/2019,48.185001,10154,47.23,Jun-19
6/17/2019,48.4725,10154,47.08,Jun-19
6/18/2019,49.612499,10154,47,Jun-19
6/19/2019,49.467499,10154,46.96,Jun-19
6/20/2019,49.865002,10154,46.93,Jun-19
6/21/2019,49.695,10154,46.91,Jun-19
6/24/2019,49.645,10154,46.92,Jun-19
6/25/2019,48.892502,10154,47.01,Jun-19
6/26/2019,49.950001,10154,47.1,Jun-19
6/27/2019,49.935001,10154,47.17,Jun-19
6/28/2019,49.48,10154,47.24,Jun-19
7/1/2019,50.387501,10154,47.34,Jul-19
7/2/2019,50.682499,10154,47.51,Jul-19
7/3/2019,51.102501,10154,47.65,Jul-19
7/5/2019,51.057499,10154,47.83,Jul-19
7/8/2019,50.005001,10154,48,Jul-19
7/9/2019,50.310001,10154,48.19,Jul-19
7/10/2019,50.807499,10154,48.4,Jul-19
7/11/2019,50.4375,10154,48.6,Jul-19
7/12/2019,50.825001,10154,48.81,Jul-19
7/15/2019,51.302502,10154,49.06,Jul-19
7/16/2019,51.125,10154,49.32,Jul-19
7/17/2019,50.837502,10154,49.52,Jul-19
7/18/2019,51.415001,10154,49.71,Jul-19
7/19/2019,50.647499,10154,49.85,Jul-19
7/22/2019,51.805,10154,50,Jul-19
7/23/2019,52.209999,10154,50.13,Jul-19
7/24/2019,52.1675,10154,50.25,Jul-19
7/25/2019,51.755001,10154,50.35,Jul-19
7/26/2019,51.935001,10154,50.47,Jul-19
7/29/2019,52.419998,10154,50.61,Jul-19
7/30/2019,52.195,10154,50.73,Jul-19
7/31/2019,53.259998,10154,50.85,Jul-19
8/1/2019,52.107498,10154,50.94,Aug-19
8/2/2019,51.005001,10154,50.98,Aug-19
8/5/2019,48.334999,10154,50.93,Aug-19
8/6/2019,49.25,10154,50.92,Aug-19
8/7/2019,49.759998,10154,50.95,Aug-19
8/8/2019,50.857498,10154,50.98,Aug-19
8/9/2019,50.247501,10154,50.99,Aug-19
8/12/2019,50.119999,10154,51.01,Aug-19
8/13/2019,52.2425,10154,51.07,Aug-19
8/14/2019,50.6875,10154,51.07,Aug-19
8/15/2019,50.435001,10154,51.05,Aug-19
8/16/2019,51.625,10154,51.07,Aug-19
8/19/2019,52.587502,10154,51.16,Aug-19
8/20/2019,52.59,10154,51.23,Aug-19
8/21/2019,53.16,10154,51.31,Aug-19
8/22/2019,53.115002,10154,51.4,Aug-19
8/23/2019,50.66,10154,51.4,Aug-19
8/26/2019,51.622501,10154,51.41,Aug-19
8/27/2019,51.040001,10154,51.4,Aug-19
8/28/2019,51.3825,10154,51.42,Aug-19
8/29/2019,52.252499,10154,51.45,Aug-19
8/30/2019,52.185001,10154,51.5,Aug-19
9/3/2019,51.424999,10154,51.49,Sep-19
9/4/2019,52.297501,10154,51.49,Sep-19
9/5/2019,53.32,10154,51.53,Sep-19
9/6/2019,53.314999,10154,51.58,Sep-19
9/9/2019,53.5425,10154,51.63,Sep-19
9/10/2019,54.174999,10154,51.69,Sep-19
9/11/2019,55.897499,10154,51.82,Sep-19
9/12/2019,55.772499,10154,51.9,Sep-19
9/13/2019,54.6875,10154,51.99,Sep-19
9/16/2019,54.974998,10154,52.12,Sep-19
9/17/2019,55.174999,10154,52.35,Sep-19
9/18/2019,55.692501,10154,52.56,Sep-19
9/19/2019,55.240002,10154,52.74,Sep-19
9/20/2019,54.432499,10154,52.86,Sep-19
9/23/2019,54.68,10154,53.01,Sep-19
9/24/2019,54.419998,10154,53.15,Sep-19
9/25/2019,55.2575,10154,53.25,Sep-19
9/26/2019,54.9725,10154,53.4,Sep-19
9/27/2019,54.705002,10154,53.54,Sep-19
9/30/2019,55.9925,10154,53.69,Sep-19
10/1/2019,56.147499,10154,53.8,Oct-19
